Day,Sobh,Chourouk,Dhor,Asr,Maghrib,Icha 
01,07:01,08:22,12:45,14:38,17:02,18:38
02,07:02,08:23,12:45,14:38,17:01,18:38
03,07:03,08:25,12:45,14:37,17:01,18:37
04,07:04,08:26,12:46,14:37,17:00,18:37
05,07:06,08:27,12:46,14:37,17:00,18:37
06,07:07,08:28,12:47,14:37,17:00,18:37
07,07:08,08:29,12:47,14:37,16:59,18:37
08,07:09,08:30,12:47,14:36,16:59,18:37
09,07:09,08:31,12:48,14:36,16:59,18:37
10,07:10,08:33,12:48,14:36,16:59,18:37
11,07:11,08:34,12:49,14:36,16:59,18:37
12,07:12,08:34,12:49,14:37,16:59,18:37
13,07:13,08:35,12:50,14:37,16:59,18:37
14,07:14,08:36,12:50,14:37,16:59,18:37
15,07:14,08:37,12:51,14:37,16:59,18:37
16,07:15,08:38,12:51,14:37,16:59,18:38
17,07:16,08:39,12:52,14:38,16:59,18:38
18,07:17,08:39,12:52,14:38,17:00,18:38
19,07:17,08:40,12:53,14:38,17:00,18:39
20,07:18,08:41,12:53,14:39,17:01,18:39
21,07:18,08:41,12:54,14:39,17:01,18:40
22,07:19,08:42,12:54,14:40,17:01,18:40
23,07:19,08:42,12:55,14:40,17:02,18:41
24,07:20,08:43,12:55,14:41,17:03,18:41
25,07:20,08:43,12:56,14:41,17:03,18:42
26,07:21,08:43,12:56,14:42,17:04,18:43
27,07:21,08:44,12:57,14:43,17:05,18:43
28,07:21,08:44,12:57,14:43,17:05,18:44
29,07:21,08:44,12:58,14:44,17:06,18:45
30,07:22,08:44,12:58,14:45,17:07,18:46
31,07:22,08:44,12:59,14:46,17:08,18:46
